"";"inst_all";"V2"
"168";"https://openalex.org/I108321963";7
"169";"https://openalex.org/I108377105";32
"170";"https://openalex.org/I108403487";12
"171";"https://openalex.org/I108541056";6
"172";"https://openalex.org/I108688024";49
"173";"https://openalex.org/I108714496";16
"174";"https://openalex.org/I10874241";3
"175";"https://openalex.org/I108754898";7
"176";"https://openalex.org/I10889393";2
"177";"https://openalex.org/I108907416";5
"178";"https://openalex.org/I10899854";1
"179";"https://openalex.org/I10902133";49
"180";"https://openalex.org/I109173049";11
"181";"https://openalex.org/I109289231";1
"182";"https://openalex.org/I109297418";7
"183";"https://openalex.org/I109556086";1
"184";"https://openalex.org/I109689652";23
"185";"https://openalex.org/I109703491";4
"186";"https://openalex.org/I109705148";4
"187";"https://openalex.org/I109935558";68
"188";"https://openalex.org/I109954829";42
"189";"https://openalex.org/I109995039";5
"190";"https://openalex.org/I110002522";22
"191";"https://openalex.org/I110017253";9
"192";"https://openalex.org/I110026055";5
"193";"https://openalex.org/I110079840";3
"194";"https://openalex.org/I110109458";30
"195";"https://openalex.org/I110116418";4
"196";"https://openalex.org/I110118728";27
"197";"https://openalex.org/I110120368";8
"198";"https://openalex.org/I110152177";9
"199";"https://openalex.org/I110166357";78
"200";"https://openalex.org/I11019714";80
"201";"https://openalex.org/I110200422";80
"202";"https://openalex.org/I110210549";9
"203";"https://openalex.org/I1102219";168
"204";"https://openalex.org/I110261225";1
"205";"https://openalex.org/I110262843";3
"206";"https://openalex.org/I110263422";9
"207";"https://openalex.org/I110273157";27
"208";"https://openalex.org/I110325482";6
"209";"https://openalex.org/I110346614";3
"210";"https://openalex.org/I110357561";2
"211";"https://openalex.org/I110360157";59
"212";"https://openalex.org/I110378019";6
"213";"https://openalex.org/I11039511";44
"214";"https://openalex.org/I110402625";1
"215";"https://openalex.org/I110440473";6
"216";"https://openalex.org/I110454016";2
"217";"https://openalex.org/I110496330";2
"218";"https://openalex.org/I110525433";70
"219";"https://openalex.org/I110603874";15
"220";"https://openalex.org/I110620307";24
"221";"https://openalex.org/I110675161";4
"222";"https://openalex.org/I110757952";15
"223";"https://openalex.org/I110774718";6
"224";"https://openalex.org/I110813580";1
"225";"https://openalex.org/I110930757";9
"226";"https://openalex.org/I111088046";76
"227";"https://openalex.org/I111112146";13
"228";"https://openalex.org/I111149068";2
"229";"https://openalex.org/I111199411";14
"230";"https://openalex.org/I11123151";4
"231";"https://openalex.org/I111236770";25
"232";"https://openalex.org/I111245572";16
"233";"https://openalex.org/I111262870";15
"234";"https://openalex.org/I111277659";12
"235";"https://openalex.org/I111398093";5
"236";"https://openalex.org/I111428342";9
"237";"https://openalex.org/I111483173";5
